"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","5594","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","8","2","1","27.423384","0","26"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","9","2","1","33.193481","0","40"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","9","10","1","25.917095","0","10"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","13","7","1","27.345207","0","47"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","8","8","1","19.876379","0","8"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","73","1","1","162.497208","0","1822"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","111","2","1","203.025513","0","6408"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","73","1","1","137.680832","0","2867"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","13","1","1","24.765018","0","103"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","33","1","1","71.614357","0","583"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","19","1","1","41.010593","0","208"
"/Engine/VREditor/TransformGizmo/Main.Main","0","13","1","1","24.252651","0","103"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","13","1","1","25.613331","0","103"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","55","4","1","73.353233","0","1383"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","8","5","1","19.101858","0","29"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","108","7","1","299.472839","0","5647"
"/Game/SaltFlats/Calibration/M_MatteBall.M_MatteBall","0","19","1","1","40.767429","0","208"
